Source JSON Level,DHDP Data Group,DHDP Data Catalog Identifier,OMOP Table,Target Field,Instruction,MOHCCN Source Schema,Source Field,Value,Vocab,Requirement Rule,Description
$,Default Values,,observation,observation_type_concept_id,Fixed Value,N/A,N/A,32879,Type Concept,,Registry
,,,observation,observation_date,Copy Value,N/A,N/A,{missing_date_value},,,
,,,episode,episode_type_concept_id,Fixed Value,N/A,N/A,32879,Type Concept,,Registry
,,,specimen,specimen_type_concept_id,Fixed Value,N/A,N/A,32879,Type Concept,,Registry
,,,visit_occurrence,visit_type_concept_id,Fixed Value,N/A,N/A,32879,Type Concept,,Registry
,,,measurement,measurement_type_concept_id,Fixed Value,N/A,N/A,32879,Type Concept,,Registry
,,,measurement,measurement_date,Copy Value,N/A,N/A,{missing_date_value},,,
,,,procedure_occurrence,procedure_type_concept_id,Fixed Value,N/A,N/A,32879,Type Concept,,Registry
,,,condition_occurrence,condition_type_concept_id,Fixed Value,N/A,N/A,32879,Type Concept,,Registry
,,,death,person_id,Get Unique ID,Donor,submitter_donor_id,OMOP Patient Person,,Skip Record,
,,,observation,person_id,Get Unique ID,Donor,submitter_donor_id,OMOP Patient Person,,Skip Record,
,,,condition_occurrence,person_id,Get Unique ID,Donor,submitter_donor_id,OMOP Patient Person,,Skip Record,
,,,drug_exposure,person_id,Get Unique ID,Donor,submitter_donor_id,OMOP Patient Person,,Skip Record,
,,,procedure_occurrence,person_id,Get Unique ID,Donor,submitter_donor_id,OMOP Patient Person,,Skip Record,
,,,measurement,person_id,Get Unique ID,Donor,submitter_donor_id,OMOP Patient Person,,Skip Record,
,,,visit_occurrence,person_id,Get Unique ID,Donor,submitter_donor_id,OMOP Patient Person,,Skip Record,
,,,specimen,person_id,Get Unique ID,Donor,submitter_donor_id,OMOP Patient Person,,Skip Record,
,,,episode,person_id,Get Unique ID,Donor,submitter_donor_id,OMOP Patient Person,,Skip Record,
,,,measurement,measurement_event_id,Get Unique ID (No Global Vars),Specimen,submitter_specimen_id,OMOP Specimen,,,
,,,measurement,measurement_event_id,Get Unique ID (No Global Vars),Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Episode,,,
,,,measurement,measurement_event_id,Get Unique ID (No Global Vars),Treatment,submitter_treatment_id,OMOP Treatment Episode,,,
,,,measurement,measurement_event_id,Get Unique ID (No Global Vars),Follow Up,submitter_follow_up_id,OMOP Follow Up Visit Occurrence,,,
,,,measurement,meas_event_field_concept_id,Fixed Value If Not Empty,Specimen,submitter_specimen_id,1147049,CDM,,specimen.specimen_id
,,,measurement,meas_event_field_concept_id,Fixed Value If Not Empty,Primary Diagnosis,submitter_primary_diagnosis_id,798885,CDM,,episode.episode_id
,,,measurement,meas_event_field_concept_id,Fixed Value If Not Empty,Treatment,submitter_treatment_id,798885,CDM,,episode.episode_id
,,,measurement,meas_event_field_concept_id,Fixed Value If Not Empty,Follow Up,submitter_follow_up_id,1147070,CDM,,visit_occurrence.visit_occurrence_id
$.donors[],Global Variables,,_global_vars,N/A,Reset Global Vars,N/A,N/A,,,,
,,,_global_vars,{source_id},Copy Value,N/A,N/A,SITE_{siteId},,,
,,,_global_vars,{fixed_date},Fixed Value,N/A,N/A,2000-01-01,,,
,,,_global_vars,{missing_date_value},Fixed Value,N/A,N/A,1800-01-01,,,
,,,_global_vars,{missing_concept_id_value},Fixed Value,N/A,N/A,4255047,,,
,,,_global_vars,{missing_string_value},Fixed Value,N/A,N/A,(Missing value),,,
,CanDIG Dataset Definition,,_global_vars,N/A,Save To Global Vars,Donor,date_resolution,,,,
,,,_global_vars,N/A,Save To Global Vars,Donor,submitter_donor_id,,,,
,,,_global_vars,N/A,Save To Global Vars,Donor,program_id,,,,
,,,_global_vars,N/A,Save To Global Vars,Donor,date_of_birth,,,,
,,,dataset,id,Copy Value,N/A,N/A,{source_id}~{Donor.program_id},,Skip Record,
,OMOP Patient Person,,person,person_id,Generate Unique ID,Donor,submitter_donor_id,,,Skip Record,
,,,,person_source_value,Copy Value,N/A,N/A,{source_id}~{Donor.program_id}~{Donor.submitter_donor_id},,Skip Record,
,,Patient - Sex At Birth (Code),,gender_concept_id,Concept ID By Term,Donor,sex_at_birth,,Gender,Placeholder:{missing_concept_id_value},https://athena.ohdsi.org/search-terms/terms?domain=Gender&standardConcept=Standard&page=1&pageSize=15&query=
,,Patient - Sex At Birth (Text From Source),,gender_source_value,Copy Value,Donor,sex_at_birth,,,,
,,Patient - Birth Year,,year_of_birth,Calculate Year From Interval,Donor,date_of_birth,,,Placeholder:1800,
,,Patient - Birth Month,,month_of_birth,Calculate Month From Interval,Donor,date_of_birth,,,Placeholder:1,
,,Patient - Birth Day,,day_of_birth,Calculate Day From Interval,Donor,date_of_birth,,,Placeholder:1,
,,,,race_concept_id,Copy Value,N/A,N/A,{missing_concept_id_value},,,
,,,,ethnicity_concept_id,Copy Value,N/A,N/A,{missing_concept_id_value},,,
,OMOP Gender Identity Observation,,observation,observation_id,Generate Unique ID,Donor,submitter_donor_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,37171290,SNOMED,,Gender identity
,,Patient - Gender Identity (Code),,value_as_concept_id,Concept ID By Term,Donor,gender,,,Skip Record,
,,Patient - Gender Identity (Text From Source),,value_source_value,Copy Value,Donor,gender,,,,
,OMOP Patient Death,,death,death_type_concept_id,Fixed Value,N/A,N/A,32879,Type Concept,,Registry
,,Patient Death - Date Of Death,,death_date,Calculate Date From Interval,Donor,date_of_death,,,Placeholder:{missing_date_value},
,,Patient Death - Cause Of Death (Code),,cause_concept_id,Concept ID By Term,Donor,cause_of_death,,,,
