Schema,Field,Original Term,Preferred Target Classes,Preferred Target Domains,Preferred Target Vocabularies,Mapped Term,Concept ID,Concept Code,Term Type,Status,Match Type,Class,Domain,Vocabulary,Manual Map Type,Mapped By,Approved By,Review URL,Notes
Sample Registration,specimen_tissue_source,Abdominal fluid,,,,Abdominal fluid sample,37155821,33511000087108,Synonym,Active,Inexact,Specimen,Specimen,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Amniotic fluid,,,,Amniotic fluid,4297445,77012006,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Arterial blood,,,,Arterial blood,4187930,4635002,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Bile,,,,Bile,4289901,70150004,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Blood derived - bone marrow,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,specimen_tissue_source,Blood derived - peripheral blood,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,specimen_tissue_source,Bone marrow fluid,,,,Bone marrow fluid,4188816,413679007,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Bone marrow derived mononuclear cells,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,specimen_tissue_source,Buccal cell,,,SNOMED,Epithelial cell,4172959,4212006,Concept,Active,Inexact,Body Structure,Spec Anatomic Site,SNOMED,Manual,Justin Liu 4,,Review,https://www.microscopyu.com/gallery-images/buccal-epithelial-cells
Sample Registration,specimen_tissue_source,Buffy coat,,,,Buffy coat,4122286,258587000,Concept,Active,Exact,Specimen,Specimen,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Cerebrospinal fluid,,,,Cerebrospinal fluid,4278997,65216001,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Cervical mucus,,,,Cervical mucus,4097519,26859008,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Convalescent plasma,,,,Convalescent plasma,37156878,1179779000,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Cord blood,,,,Cord blood,4052756,12499000,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Duodenal fluid,,,,Duodenal fluid,1030100,LP7186-2,Concept,Active,Exact,LOINC System,Observation,LOINC,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Female genital fluid,,,,Female genital fluid,4197276,50473004,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Fetal blood,,,,Fetal blood,40784728,LP62758-5,Concept,Active,Exact,LOINC Component,Observation,LOINC,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Hydrocele fluid,,,,Hydrocele fluid,37110739,725093005,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Male genital fluid,,,,Male genital fluid,4050890,23378005,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Other,,,,Other,9177,74964007,Concept,Active,Exact,Qualifier Value,Meas Value,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Pancreatic fluid,,,,Pancreatic fluid,4067914,17387004,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Pericardial effusion,,,,Pericardial effusion,4161701,373945007,Concept,Active,Exact,Disorder,Condition,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Pleural fluid,,,,Pleural fluid,4100638,2778004,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Renal cyst fluid,,,,Renal cyst fluid,37117012,734111007,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Saliva,,,,Saliva,4120374,256897009,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Seminal fluid,,,,Seminal fluid,4289619,6993007,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Serum,,,,Serum,4194767,67922002,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Solid tissue,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,specimen_tissue_source,Sputum,,,,Sputum,4164116,45710003,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Synovial fluid,,,,Synovial fluid,4246175,6085005,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Urine,,,,Urine,4299925,78014005,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Venous blood,,,,Venous blood,4203287,53130003,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Vitreous fluid,,,,Vitreous fluid,1033732,LP7715-8,Concept,Active,Exact,LOINC System,Observation,LOINC,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Whole blood,,,,Whole blood,4170424,420135007,Concept,Active,Exact,Substance,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_tissue_source,Wound,,,,Fluid specimen from wound (specimen),4046837,122566000,Synonym,Active,Inexact,Specimen,Specimen,SNOMED,Manual,Justin Liu 4,,Review,
Sample Registration,tumour_normal_designation,Normal,,,,Normal,4069590,17621005,Concept,Active,Exact,Qualifier Value,Meas Value,SNOMED,,Justin Liu,,Review,
Sample Registration,tumour_normal_designation,Tumour,,,,Tumour,4030314,108369006,Synonym,Active,Exact,Morph Abnormality,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_type,Cell line - derived from normal,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,specimen_type,Cell line - derived from primary tumour,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,specimen_type,Cell line - derived from metastatic tumour,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,specimen_type,Cell line - derived from xenograft tumour,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,specimen_type,Metastatic tumour - additional metastatic,,,SNOMED,"Tumour, metastatic",4032806,14799000,Synonym,Active,Inexact,Morph Abnormality,Observation,SNOMED,Closest Parent,Justin Liu 4,,Review,
Sample Registration,specimen_type,Metastatic tumour - metastasis local to lymph node,,,SNOMED,"Tumour, metastatic",4032806,14799000,Synonym,Active,Inexact,Morph Abnormality,Observation,SNOMED,Closest Parent,Justin Liu 4,,Review,
Sample Registration,specimen_type,Metastatic tumour - metastasis to distant location,,,SNOMED,"Tumour, metastatic",4032806,14799000,Synonym,Active,Inexact,Morph Abnormality,Observation,SNOMED,Closest Parent,Justin Liu 4,,Review,
Sample Registration,specimen_type,Metastatic tumour,,,,"Tumour, metastatic",4032806,14799000,Synonym,Active,Inexact,Morph Abnormality,Observation,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_type,Normal - tissue adjacent to primary tumour,,,SNOMED,Normal,4069590,17621005,Concept,Active,Inexact,Qualifier Value,Meas Value,SNOMED,Closest Parent,Justin Liu 4,,Review,
Sample Registration,specimen_type,Normal,,,,Normal,4069590,17621005,Concept,Active,Exact,Qualifier Value,Meas Value,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_type,Primary tumour - additional new primary,,,SNOMED,Primary malignant neoplasm,439392,372087000,Concept,Active,Inexact,Disorder,Condition,SNOMED,Closest Parent,Justin Liu 4,,Review,
Sample Registration,specimen_type,Primary tumour - adjacent to normal,,,SNOMED,Primary malignant neoplasm,439392,372087000,Concept,Active,Inexact,Disorder,Condition,SNOMED,Closest Parent,Justin Liu 4,,Review,
Sample Registration,specimen_type,Primary tumour,,,,Primary malignant neoplasm,439392,372087000,Concept,Active,Inexact,Disorder,Condition,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_type,Recurrent tumour,,,,Recurrent tumour,4097297,25173007,Synonym,Active,Exact,Disorder,Condition,SNOMED,,Justin Liu,,Review,
Sample Registration,specimen_type,Tumour - unknown if derived from primary or metastatic tumour,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,specimen_type,Xenograft - derived from primary tumour,,,SNOMED,Xenograft,4195546,67650000,Concept,Active,Inexact,Substance,Device,SNOMED,Closest Parent,Justin Liu 4,,Review,
Sample Registration,specimen_type,Xenograft - derived from metastatic tumour,,,SNOMED,Xenograft,4195546,67650000,Concept,Active,Inexact,Substance,Device,SNOMED,Closest Parent,Justin Liu 4,,Review,
Sample Registration,specimen_type,Xenograft - derived from tumour cell line,,,SNOMED,Xenograft,4195546,67650000,Concept,Active,Inexact,Substance,Device,SNOMED,Closest Parent,Justin Liu 4,,Review,
Sample Registration,sample_type,Amplified DNA,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,sample_type,ctDNA,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,sample_type,Other DNA enrichments,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,sample_type,Other RNA fractions,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,sample_type,polyA+ RNA,,,SNOMED,,,,,,No Match,,,,,,,Review,
Sample Registration,sample_type,Protein,,,,Protein,40779250,LP15838-3,Concept,Active,Exact,LOINC Component,Observation,LOINC,,Justin Liu,,Review,
